Run,AGE,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Ecotype,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,tissue,AssemblyName
SRR6862431,not applicable,WGS,299,8470761458,PRJNA434660,SAMN08567280,Plant,2625225331,SOUTH DAKOTA STATE UNIVERSITY,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-8 leaves seedings,Columbia,SRX3817384,USA,North America,USA:Maryland,Illumina HiSeq 4000,76,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2018-12-11T00:00:00Z,2018-03-19T18:16:00Z,1,AthMu,SRP133100,leaf,TAIR10
SRR6862432,not applicable,WGS,299,4947105790,PRJNA434660,SAMN08567280,Plant,1590333552,SOUTH DAKOTA STATE UNIVERSITY,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-8 leaves seedings,Columbia,SRX3817383,USA,North America,USA:Maryland,Illumina HiSeq 4000,85,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2018-12-11T00:00:00Z,2018-03-19T18:09:00Z,1,AthMu,SRP133100,leaf,TAIR10
SRR6862433,not applicable,WGS,300,6168349094,PRJNA434660,SAMN08567280,Plant,1944978086,SOUTH DAKOTA STATE UNIVERSITY,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-8 leaves seedings,Columbia,SRX3817382,USA,North America,USA:Maryland,Illumina HiSeq 4000,84,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2018-12-11T00:00:00Z,2018-03-19T18:12:00Z,1,AthMu,SRP133100,leaf,TAIR10
SRR6862434,not applicable,WGS,299,3025417427,PRJNA434660,SAMN08567280,Plant,944368148,SOUTH DAKOTA STATE UNIVERSITY,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-8 leaves seedings,Columbia,SRX3817381,USA,North America,USA:Maryland,Illumina HiSeq 4000,65,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2018-12-11T00:00:00Z,2018-03-19T18:09:00Z,1,AthMu,SRP133100,leaf,TAIR10
SRR6862435,not applicable,WGS,299,6248651196,PRJNA434660,SAMN08567280,Plant,1920469362,SOUTH DAKOTA STATE UNIVERSITY,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-8 leaves seedings,Columbia,SRX3817380,USA,North America,USA:Maryland,Illumina HiSeq 4000,66,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2018-12-11T00:00:00Z,2018-03-19T18:16:00Z,1,AthMu,SRP133100,leaf,TAIR10
SRR6862436,not applicable,WGS,299,2422468387,PRJNA434660,SAMN08567280,Plant,751190966,SOUTH DAKOTA STATE UNIVERSITY,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-8 leaves seedings,Columbia,SRX3817379,USA,North America,USA:Maryland,Illumina HiSeq 4000,67,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2018-12-11T00:00:00Z,2018-03-19T18:07:00Z,1,AthMu,SRP133100,leaf,TAIR10
SRR6862437,not applicable,WGS,300,6772422782,PRJNA434660,SAMN08567280,Plant,2064197175,SOUTH DAKOTA STATE UNIVERSITY,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-8 leaves seedings,Columbia,SRX3817378,USA,North America,USA:Maryland,Illumina HiSeq 4000,68,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2018-12-11T00:00:00Z,2018-03-19T18:15:00Z,1,AthMu,SRP133100,leaf,TAIR10
SRR6862438,not applicable,WGS,299,6505506726,PRJNA434660,SAMN08567280,Plant,1969122081,SOUTH DAKOTA STATE UNIVERSITY,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-8 leaves seedings,Columbia,SRX3817377,USA,North America,USA:Maryland,Illumina HiSeq 4000,69,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2018-12-11T00:00:00Z,2018-03-19T18:17:00Z,1,AthMu,SRP133100,leaf,TAIR10
SRR6862439,not applicable,WGS,300,3054707048,PRJNA434660,SAMN08567280,Plant,914010443,SOUTH DAKOTA STATE UNIVERSITY,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-8 leaves seedings,Columbia,SRX3817376,USA,North America,USA:Maryland,Illumina HiSeq 4000,71,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2018-12-11T00:00:00Z,2018-03-19T18:07:00Z,1,AthMu,SRP133100,leaf,TAIR10
SRR6862440,not applicable,WGS,299,5078618183,PRJNA434660,SAMN08567280,Plant,1535897795,SOUTH DAKOTA STATE UNIVERSITY,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-8 leaves seedings,Columbia,SRX3817375,USA,North America,USA:Maryland,Illumina HiSeq 4000,72,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2018-12-11T00:00:00Z,2018-03-19T18:10:00Z,1,AthMu,SRP133100,leaf,TAIR10
