Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Broker_name,Bytes,Center Name,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Developmental_stage,Ecotype,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,Experimental_Factor:_individual (exp),external_id,genotype,Individual,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism_part,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sample_name,SRA Study,Submitter_Id,ENA_first_public,ena_last_update,INSDC_center_alias,ena_first_public,ena_last_update,scientific_name
ERR7624607,WGS,300,1329993600,PRJEB49306,SAMEA11057356,ArrayExpress,464060888,Max Planck Institute for Plant Breeding Research,thale cress,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",sporophyte vegetative stage,Columbia ecotype x Landsberg ecotype,2022-06-14,2022-06-14,ERX7195187,Plate1_B9,SAMEA11057356,wild type genotype,Plate1_B9,MPIPZ,2022-06-14T16:16:55Z,2022-06-14T16:16:55Z,public,Illumina HiSeq 3000,Plate1_B9_p,PAIRED,RANDOM,GENOMIC,leaf,Arabidopsis thaliana,ILLUMINA,2022-06-14T00:00:00Z,2022-06-24T04:06:00Z,1,SAMEA11057356,E-MTAB-11254:Plate1_B9,ERP133800,E-MTAB-11254:Plate1_B9,2022-06-14,2022-06-14,MPIPZ,,,
ERR7624608,WGS,300,1253712300,PRJEB49306,SAMEA11057357,ArrayExpress,422646967,Max Planck Institute for Plant Breeding Research,thale cress,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",sporophyte vegetative stage,Columbia ecotype x Landsberg ecotype,2022-06-14,2022-06-14,ERX7195188,Plate1_C1,SAMEA11057357,wild type genotype,Plate1_C1,MPIPZ,2022-06-14T16:16:55Z,2022-06-14T16:16:55Z,public,Illumina HiSeq 3000,Plate1_C1_p,PAIRED,RANDOM,GENOMIC,leaf,Arabidopsis thaliana,ILLUMINA,2022-06-14T00:00:00Z,2022-06-24T04:06:00Z,1,SAMEA11057357,E-MTAB-11254:Plate1_C1,ERP133800,E-MTAB-11254:Plate1_C1,2022-06-14,2022-06-14,MPIPZ,,,
ERR7624609,WGS,300,1222317000,PRJEB49306,SAMEA11057358,ArrayExpress,423891925,Max Planck Institute for Plant Breeding Research,thale cress,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",sporophyte vegetative stage,Columbia ecotype x Landsberg ecotype,2022-06-14,2022-06-14,ERX7195189,Plate1_C10,SAMEA11057358,wild type genotype,Plate1_C10,MPIPZ,2022-06-14T16:16:55Z,2022-06-14T16:16:55Z,public,Illumina HiSeq 3000,Plate1_C10_p,PAIRED,RANDOM,GENOMIC,leaf,Arabidopsis thaliana,ILLUMINA,2022-06-14T00:00:00Z,2022-06-24T04:06:00Z,1,SAMEA11057358,E-MTAB-11254:Plate1_C10,ERP133800,E-MTAB-11254:Plate1_C10,2022-06-14,2022-06-14,MPIPZ,,,
ERR7624610,WGS,300,1255765200,PRJEB49306,SAMEA11057359,ArrayExpress,429418393,Max Planck Institute for Plant Breeding Research,thale cress,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",sporophyte vegetative stage,Columbia ecotype x Landsberg ecotype,2022-06-14,2022-06-14,ERX7195190,Plate1_C11,SAMEA11057359,wild type genotype,Plate1_C11,MPIPZ,2022-06-14T16:16:55Z,2022-06-14T16:16:55Z,public,Illumina HiSeq 3000,Plate1_C11_p,PAIRED,RANDOM,GENOMIC,leaf,Arabidopsis thaliana,ILLUMINA,2022-06-14T00:00:00Z,2022-06-24T04:05:00Z,1,SAMEA11057359,E-MTAB-11254:Plate1_C11,ERP133800,E-MTAB-11254:Plate1_C11,2022-06-14,2022-06-14,MPIPZ,,,
ERR7624611,WGS,300,1309430100,PRJEB49306,SAMEA11057360,ArrayExpress,459111404,Max Planck Institute for Plant Breeding Research,thale cress,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",sporophyte vegetative stage,Columbia ecotype x Landsberg ecotype,2022-06-14,2022-06-14,ERX7195191,Plate1_C12,SAMEA11057360,wild type genotype,Plate1_C12,MPIPZ,2022-06-14T16:16:55Z,2022-06-14T16:16:55Z,public,Illumina HiSeq 3000,Plate1_C12_p,PAIRED,RANDOM,GENOMIC,leaf,Arabidopsis thaliana,ILLUMINA,2022-06-14T00:00:00Z,2022-06-24T04:08:00Z,1,SAMEA11057360,E-MTAB-11254:Plate1_C12,ERP133800,E-MTAB-11254:Plate1_C12,2022-06-14,2022-06-14,MPIPZ,,,
ERR7624612,WGS,300,1296780000,PRJEB49306,SAMEA11057361,ArrayExpress,446321804,Max Planck Institute for Plant Breeding Research,thale cress,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",sporophyte vegetative stage,Columbia ecotype x Landsberg ecotype,2022-06-14,2022-06-14,ERX7195192,Plate1_C2,SAMEA11057361,wild type genotype,Plate1_C2,MPIPZ,2022-06-14T16:16:55Z,2022-06-14T16:16:55Z,public,Illumina HiSeq 3000,Plate1_C2_p,PAIRED,RANDOM,GENOMIC,leaf,Arabidopsis thaliana,ILLUMINA,2022-06-14T00:00:00Z,2022-06-24T04:06:00Z,1,SAMEA11057361,E-MTAB-11254:Plate1_C2,ERP133800,E-MTAB-11254:Plate1_C2,2022-06-14,2022-06-14,MPIPZ,,,
ERR7624613,WGS,300,1222804800,PRJEB49306,SAMEA11057362,ArrayExpress,417764065,Max Planck Institute for Plant Breeding Research,thale cress,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",sporophyte vegetative stage,Columbia ecotype x Landsberg ecotype,2022-06-14,2022-06-14,ERX7195193,Plate1_C3,SAMEA11057362,wild type genotype,Plate1_C3,MPIPZ,2022-06-14T16:16:55Z,2022-06-14T16:16:55Z,public,Illumina HiSeq 3000,Plate1_C3_p,PAIRED,RANDOM,GENOMIC,leaf,Arabidopsis thaliana,ILLUMINA,2022-06-14T00:00:00Z,2022-06-24T04:06:00Z,1,SAMEA11057362,E-MTAB-11254:Plate1_C3,ERP133800,E-MTAB-11254:Plate1_C3,2022-06-14,2022-06-14,MPIPZ,,,
ERR7624614,WGS,300,1186806300,PRJEB49306,SAMEA11057363,ArrayExpress,404236942,Max Planck Institute for Plant Breeding Research,thale cress,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",sporophyte vegetative stage,Columbia ecotype x Landsberg ecotype,2022-06-14,2022-06-14,ERX7195194,Plate1_C7,SAMEA11057363,wild type genotype,Plate1_C7,MPIPZ,2022-06-14T16:16:55Z,2022-06-14T16:16:55Z,public,Illumina HiSeq 3000,Plate1_C7_p,PAIRED,RANDOM,GENOMIC,leaf,Arabidopsis thaliana,ILLUMINA,2022-06-14T00:00:00Z,2022-06-24T04:07:00Z,1,SAMEA11057363,E-MTAB-11254:Plate1_C7,ERP133800,E-MTAB-11254:Plate1_C7,2022-06-14,2022-06-14,MPIPZ,,,
ERR7624615,WGS,300,1202347500,PRJEB49306,SAMEA11057364,ArrayExpress,407720343,Max Planck Institute for Plant Breeding Research,thale cress,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",sporophyte vegetative stage,Columbia ecotype x Landsberg ecotype,2022-06-14,2022-06-14,ERX7195195,Plate1_C8,SAMEA11057364,wild type genotype,Plate1_C8,MPIPZ,2022-06-14T16:16:55Z,2022-06-14T16:16:55Z,public,Illumina HiSeq 3000,Plate1_C8_p,PAIRED,RANDOM,GENOMIC,leaf,Arabidopsis thaliana,ILLUMINA,2022-06-14T00:00:00Z,2022-06-24T04:06:00Z,1,SAMEA11057364,E-MTAB-11254:Plate1_C8,ERP133800,E-MTAB-11254:Plate1_C8,2022-06-14,2022-06-14,MPIPZ,,,
ERR7624616,WGS,300,1330651500,PRJEB49306,SAMEA11057365,ArrayExpress,461308073,Max Planck Institute for Plant Breeding Research,thale cress,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",sporophyte vegetative stage,Columbia ecotype x Landsberg ecotype,2022-06-14,2022-06-14,ERX7195196,Plate1_C9,SAMEA11057365,wild type genotype,Plate1_C9,MPIPZ,2022-06-14T16:16:55Z,2022-06-14T16:16:55Z,public,Illumina HiSeq 3000,Plate1_C9_p,PAIRED,RANDOM,GENOMIC,leaf,Arabidopsis thaliana,ILLUMINA,2022-06-14T00:00:00Z,2022-06-24T04:06:00Z,1,SAMEA11057365,E-MTAB-11254:Plate1_C9,ERP133800,E-MTAB-11254:Plate1_C9,2022-06-14,2022-06-14,MPIPZ,,,
