Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Ecotype,Experiment,genotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,lib_id,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,tissue
SRR14307026,WGS,300,99207000,PRJNA723952,SAMN18837897,Plant,47991779,UNIVERSITY OF CALIFORNIA DAVIS,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",Vegetative,Col-0 x Ler-1 hybrids,SRX10662508,asy1T142V-Col-0/asy1Ler-1 x Col-0,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 365 of 1108,ta_C_9,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-23T03:58:00Z,1,ta_C_9,SRP315964,Leaf
SRR14307027,WGS,300,190935000,PRJNA723952,SAMN18837893,Plant,85517612,UNIVERSITY OF CALIFORNIA DAVIS,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",Vegetative,Col-0 x Ler-1 hybrids,SRX10662504,asy1T142V-Col-0/asy1Ler-1 x Col-0,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 361 of 1108,ta_C_5,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-23T03:58:00Z,1,ta_C_5,SRP315964,Leaf
SRR14307028,WGS,300,37441800,PRJNA723952,SAMN18837569,Plant,15515937,UNIVERSITY OF CALIFORNIA DAVIS,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",Vegetative,Col-0 x Ler-1 hybrids,SRX10662503,asy1Col-0/asy1Ler-1 x Col-0,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 37 of 1108,aa_C_37,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-23T03:58:00Z,1,aa_C_37,SRP315964,Leaf
SRR14307029,WGS,300,288205500,PRJNA723952,SAMN18837892,Plant,124320637,UNIVERSITY OF CALIFORNIA DAVIS,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",Vegetative,Col-0 x Ler-1 hybrids,SRX10662502,asy1T142V-Col-0/asy1Ler-1 x Col-0,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 360 of 1108,ta_C_4,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-23T03:58:00Z,1,ta_C_4,SRP315964,Leaf
SRR14307030,WGS,300,213027900,PRJNA723952,SAMN18837891,Plant,92879179,UNIVERSITY OF CALIFORNIA DAVIS,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",Vegetative,Col-0 x Ler-1 hybrids,SRX10662501,asy1T142V-Col-0/asy1Ler-1 x Col-0,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 359 of 1108,ta_C_3,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-23T03:58:00Z,1,ta_C_3,SRP315964,Leaf
SRR14307031,WGS,300,244811400,PRJNA723952,SAMN18837889,Plant,107573818,UNIVERSITY OF CALIFORNIA DAVIS,public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",Vegetative,Col-0 x Ler-1 hybrids,SRX10662499,asy1T142V-Col-0/asy1Ler-1 x Col-0,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 357 of 1108,ta_C_1,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-23T03:58:00Z,1,ta_C_1,SRP315964,Leaf
SRR14307032,WGS,300,460663200,PRJNA723952,SAMN18837888,Plant,194548440,UNIVERSITY OF CALIFORNIA DAVIS,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",Vegetative,Col-0 x Ler-1 hybrids,SRX10662498,asy1T142V-Col-0/asy1Ler-1 x Col-0,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 356 of 1108,ta_C_216,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-23T03:59:00Z,1,ta_C_216,SRP315964,Leaf
SRR14307033,WGS,300,520967400,PRJNA723952,SAMN18837887,Plant,217867967,UNIVERSITY OF CALIFORNIA DAVIS,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",Vegetative,Col-0 x Ler-1 hybrids,SRX10662497,asy1T142V-Col-0/asy1Ler-1 x Col-0,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 355 of 1108,ta_C_208,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-23T03:59:00Z,1,ta_C_208,SRP315964,Leaf
SRR14307034,WGS,300,266993700,PRJNA723952,SAMN18837890,Plant,115846509,UNIVERSITY OF CALIFORNIA DAVIS,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",Vegetative,Col-0 x Ler-1 hybrids,SRX10662500,asy1T142V-Col-0/asy1Ler-1 x Col-0,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 358 of 1108,ta_C_2,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-23T03:58:00Z,1,ta_C_2,SRP315964,Leaf
SRR14307035,WGS,300,426723000,PRJNA723952,SAMN18837886,Plant,180039132,UNIVERSITY OF CALIFORNIA DAVIS,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",Vegetative,Col-0 x Ler-1 hybrids,SRX10662496,asy1T142V-Col-0/asy1Ler-1 x Col-0,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 354 of 1108,ta_C_200,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-23T03:59:00Z,1,ta_C_200,SRP315964,Leaf
